identity_client,weight,age,profile_gender,profile_GOR,voted_ge_2024,pastvote_ge_2024,pastvote_EURef,profile_education_level,profile_education_level_recode,profile_work_stat,political_attention,split,xconsent,randMOSTLEAST,mostlikely,leastlikely,MLthermo,MLthermo_KB,MLthermo_KS,MLthermo_NF,MLthermo_ED,MLthermo_CD,MLthermo_AR,LLthermo,LLthermo_KB,LLthermo_KS,LLthermo_NF,LLthermo_ED,LLthermo_CD,LLthermo_AR,agreedisagree,xtrust,child
1741,0.83,30,Male,South West,"No, did not vote",,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),3,4,I consent to taking part in this study,6,Green Party,Conservative Party,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Tend to disagree,Once in a while,Neither happy nor upset
1742,0.82,44,Male,Yorkshire and the Humber,"Yes, voted",Reform UK,I voted to Leave,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),7,4,I consent to taking part in this study,6,Reform UK,Green Party,1,Not Asked,Not Asked,76,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,66,Strongly disagree,Almost never,Somewhat upset
1743,0.7,73,Male,South West,"Yes, voted",Liberal Democrat,I voted to Remain,"Other technical, professional or higher qualification",Medium,Other,7,3,I consent to taking part in this study,2,Labour Party,Reform UK,1,Not Asked,80,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,4,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
1744,0.74,33,Female,South East,"No, did not vote",,I did not vote,Don't know,Medium,Working full time (30 or more hours per week),5,2,I consent to taking part in this study,2,None of these,None of these,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
1745,0.7,70,Male,South West,"Yes, voted",Conservative,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Retired,5,1,I consent to taking part in this study,2,Conservative Party,Labour Party,1,11,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,2,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
1746,0.77,66,Female,West Midlands,"Yes, voted",Conservative,I voted to Leave,Clerical and commercial,Low,Retired,6,1,I consent to taking part in this study,5,Labour Party,None of these,1,Not Asked,67,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
1747,0.73,24,Female,South West,"Yes, voted",Labour,I did not vote,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),8,2,I consent to taking part in this study,4,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,77,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
1748,0.81,25,Male,South East,"Yes, voted",Green,I did not vote,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),7,4,I consent to taking part in this study,5,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,86,Not Asked,Not Asked,1,Not Asked,Not Asked,18,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
1749,2.3,51,Male,East Midlands,"No, did not vote",,I voted to Remain,University diploma,Medium,Not working,1,1,I consent to taking part in this study,3,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
1750,0.53,61,Male,Scotland,"Yes, voted",Scottish National Party (SNP),I voted to Remain,City & Guilds certificate,Low,Working part time (Less than 8 hours a week),8,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
1751,1.04,31,Male,South East,"No, did not vote",,Can’t remember,Prefer not to say,Medium,Working full time (30 or more hours per week),3,1,I consent to taking part in this study,5,None of these,None of these,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
1752,1.19,71,Male,London,"Yes, voted",Other,I voted to Leave,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Retired,7,1,I consent to taking part in this study,1,None of these,Green Party,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Tend to disagree,Once in a while,Neither happy nor upset
1753,0.64,31,Female,Wales,"Yes, voted",Labour,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),7,3,I consent to taking part in this study,2,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,997,Not Asked,Not Asked,1,Not Asked,Not Asked,3,Not Asked,Not Asked,Not Asked,Tend to disagree,Once in a while,Somewhat upset
1754,0.54,43,Female,East Midlands,"Yes, voted",Labour,I voted to Remain,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Unemployed,8,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
1755,2.19,18,Female,Yorkshire and the Humber,"No, did not vote",,I did not vote,GCE A level or Higher Certificate,Medium,Full time student,7,2,I consent to taking part in this study,3,Labour Party,Reform UK,1,Not Asked,65,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,19,Not Asked,Not Asked,Not Asked,Tend to disagree,Once in a while,Somewhat upset
1756,0.7,58,Male,East of England,"Yes, voted",Labour,I voted to Leave,Prefer not to say,Medium,Working full time (30 or more hours per week),5,4,I consent to taking part in this study,1,Labour Party,Conservative Party,1,Not Asked,84,Not Asked,Not Asked,Not Asked,Not Asked,1,9,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
1757,0.77,73,Male,West Midlands,"No, did not vote",,I voted to Leave,City & Guilds certificate,Low,Retired,8,2,I consent to taking part in this study,5,Reform UK,None of these,1,Not Asked,Not Asked,95,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
1758,0.82,31,Male,Scotland,"Yes, voted",Labour,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),8,2,I consent to taking part in this study,3,Conservative Party,Labour Party,1,45,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,45,Not Asked,Not Asked,Not Asked,Not Asked,Tend to disagree,About half of the time,Somewhat upset
1759,0.86,26,Male,South West,"Yes, voted",Reform UK,I voted to Leave,GCE A level or Higher Certificate,Medium,Working full time (30 or more hours per week),10,2,I consent to taking part in this study,1,Reform UK,Green Party,1,Not Asked,Not Asked,50,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,0,997,Strongly disagree,Almost never,Neither happy nor upset
1760,1.18,38,Male,South West,"No, did not vote",,I voted to Remain,University diploma,Medium,Working full time (30 or more hours per week),6,3,I consent to taking part in this study,1,Reform UK,Labour Party,1,Not Asked,Not Asked,100,Not Asked,Not Asked,Not Asked,1,Not Asked,3,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
1761,0.9,48,Female,East of England,Don’t know,,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working part time (Less than 8 hours a week),7,2,I consent to taking part in this study,3,None of these,Labour Party,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Tend to disagree,Once in a while,Neither happy nor upset
1762,0.98,25,Male,North West,"Yes, voted",Labour,I did not vote,"Other technical, professional or higher qualification",Medium,Working full time (30 or more hours per week),10,4,I consent to taking part in this study,1,Labour Party,Reform UK,1,Not Asked,90,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
1763,0.63,36,Female,North East,"Yes, voted",Labour,I voted to Remain,Youth training certificate/skillseekers,Low,Working full time (30 or more hours per week),7,3,I consent to taking part in this study,6,Labour Party,Reform UK,1,Not Asked,25,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,27,Not Asked,Not Asked,Not Asked,Tend to disagree,Once in a while,Neither happy nor upset
1764,0.94,74,Male,Scotland,"Yes, voted",Scottish National Party (SNP),I voted to Leave,City & Guilds certificate,Low,Retired,7,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
1765,1.01,28,Female,London,"Yes, voted",Conservative,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),7,1,I consent to taking part in this study,3,Labour Party,Green Party,1,Not Asked,77,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,44,64,Tend to agree,Once in a while,Somewhat happy
1766,0.72,57,Female,South East,"Yes, voted",Labour,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working part time (8-29 hours a week),6,1,I consent to taking part in this study,2,Conservative Party,Green Party,1,55,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Neither agree nor disagree,Almost never,Neither happy nor upset
1767,0.54,63,Male,West Midlands,"Yes, voted",Liberal Democrat,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Retired,8,2,I consent to taking part in this study,5,Conservative Party,Reform UK,1,50,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
1768,0.89,33,Male,South East,"Yes, voted",Liberal Democrat,I did not vote,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),10,2,I consent to taking part in this study,5,Labour Party,Reform UK,1,Not Asked,90,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Tend to disagree,Almost never,Neither happy nor upset
1769,0.68,50,Male,Wales,"Yes, voted",Labour,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),8,2,I consent to taking part in this study,1,Labour Party,Conservative Party,1,Not Asked,80,Not Asked,Not Asked,Not Asked,Not Asked,1,0,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
1770,0.78,34,Female,London,"Yes, voted",Liberal Democrat,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),7,4,I consent to taking part in this study,4,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,39,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
1771,0.99,54,Male,South West,"Yes, voted",Conservative,I voted to Leave,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),7,3,I consent to taking part in this study,3,Conservative Party,Green Party,1,65,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Strongly disagree,Almost never,Somewhat upset
1772,0.57,48,Female,South West,"No, did not vote",,I voted to Remain,University diploma,Medium,Working full time (30 or more hours per week),6,4,I consent to taking part in this study,2,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,997,Not Asked,Not Asked,1,Not Asked,Not Asked,20,Not Asked,Not Asked,Not Asked,Tend to disagree,Once in a while,Neither happy nor upset
1773,0.92,56,Male,Yorkshire and the Humber,"Yes, voted",Reform UK,I voted to Leave,"Other technical, professional or higher qualification",Medium,Other,6,3,I consent to taking part in this study,5,Reform UK,None of these,1,Not Asked,Not Asked,95,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
1774,0.86,50,Male,West Midlands,"Yes, voted",Conservative,I voted to Leave,"Other technical, professional or higher qualification",Medium,Working full time (30 or more hours per week),7,2,I consent to taking part in this study,4,Reform UK,Green Party,1,Not Asked,Not Asked,78,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Strongly disagree,Almost never,Neither happy nor upset
1775,0.7,70,Female,South East,"Yes, voted",Conservative,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Retired,7,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
1776,1.63,30,Male,Scotland,"No, did not vote",,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),7,4,I consent to taking part in this study,1,Labour Party,Green Party,1,Not Asked,81,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,50,46,Tend to disagree,Almost never,Neither happy nor upset
1777,0.73,26,Female,London,"Yes, voted",Conservative,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working part time (8-29 hours a week),8,2,I consent to taking part in this study,3,Conservative Party,Liberal Democrats,1,89,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,70,Not Asked,Not Asked,Neither agree nor disagree,About half of the time,Neither happy nor upset
1778,2.38,19,Male,West Midlands,"Yes, voted",Other,I did not vote,"Other technical, professional or higher qualification",Medium,Unemployed,10,4,I consent to taking part in this study,1,None of these,Reform UK,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
1779,1.02,34,Male,North East,"Yes, voted",Labour,I did not vote,University diploma,Medium,Working part time (8-29 hours a week),6,3,I consent to taking part in this study,6,Labour Party,Reform UK,1,Not Asked,67,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,56,Not Asked,Not Asked,Not Asked,Neither agree nor disagree,Most of the time,Don't know
1780,0.91,71,Male,North West,"Yes, voted",Labour,I voted to Remain,City & Guilds certificate - advanced,Medium,Retired,7,3,I consent to taking part in this study,3,Labour Party,Liberal Democrats,1,Not Asked,42,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,53,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
1781,0.71,57,Male,North West,"Yes, voted",Other,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Retired,7,4,I consent to taking part in this study,5,Labour Party,Reform UK,1,Not Asked,47,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
1782,1.15,46,Male,Yorkshire and the Humber,"Yes, voted",Labour,I voted to Remain,GCE A level or Higher Certificate,Medium,Working full time (30 or more hours per week),5,3,I consent to taking part in this study,5,Labour Party,Conservative Party,1,Not Asked,75,Not Asked,Not Asked,Not Asked,Not Asked,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
1783,0.94,51,Female,North West,"Yes, voted",Conservative,I voted to Leave,City & Guilds certificate - advanced,Medium,Working part time (8-29 hours a week),10,1,I consent to taking part in this study,6,Conservative Party,Labour Party,1,100,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
1784,0.68,61,Female,North East,"Yes, voted",Reform UK,I voted to Leave,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working part time (8-29 hours a week),10,4,I consent to taking part in this study,5,Reform UK,Labour Party,1,Not Asked,Not Asked,80,Not Asked,Not Asked,Not Asked,1,Not Asked,11,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Once in a while,Neither happy nor upset
1785,0.6,33,Female,Wales,"Yes, voted",Labour,I voted to Remain,GCE A level or Higher Certificate,Medium,Working part time (8-29 hours a week),7,2,I consent to taking part in this study,3,None of these,None of these,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
1786,2.27,18,Male,East Midlands,"No, did not vote",,I did not vote,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Full time student,10,3,I consent to taking part in this study,3,Labour Party,Reform UK,1,Not Asked,98,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
1787,1,34,Male,London,"Yes, voted",Labour,I did not vote,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),10,4,I consent to taking part in this study,6,Labour Party,None of these,1,Not Asked,50,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
1788,0.57,45,Female,South West,"Yes, voted",Labour,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working part time (8-29 hours a week),8,4,I consent to taking part in this study,6,Labour Party,Reform UK,1,Not Asked,75,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,10,Not Asked,Not Asked,Not Asked,Neither agree nor disagree,Don't know,Somewhat upset
1789,0.78,73,Female,West Midlands,"Yes, voted",Conservative,I voted to Remain,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Retired,4,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
1790,0.6,61,Female,South West,"No, did not vote",,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working part time (8-29 hours a week),9,4,I consent to taking part in this study,4,Reform UK,Liberal Democrats,1,Not Asked,Not Asked,84,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,27,Not Asked,Not Asked,Tend to disagree,Almost never,Neither happy nor upset
1791,0.97,35,Female,London,"Yes, voted",Green,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working part time (Less than 8 hours a week),7,1,I consent to taking part in this study,2,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
1792,1.01,25,Male,North East,"No, did not vote",,I did not vote,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Unemployed,4,1,I consent to taking part in this study,5,None of these,None of these,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
1793,0.86,32,Female,Scotland,"Yes, voted",Labour,I voted to Remain,Scottish Higher Certificate,Medium,Working full time (30 or more hours per week),5,2,I consent to taking part in this study,3,Labour Party,Conservative Party,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,1,10,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Tend to disagree,Almost never,Neither happy nor upset
1794,0.67,46,Female,Scotland,"Yes, voted",Other,I voted to Leave,GCE A level or Higher Certificate,Medium,Not working,7,2,I consent to taking part in this study,1,Reform UK,Green Party,1,Not Asked,Not Asked,81,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Strongly disagree,Almost never,Neither happy nor upset
1795,1.5,21,Female,Yorkshire and the Humber,"No, did not vote",,I did not vote,GCE A level or Higher Certificate,Medium,Full time student,4,3,I consent to taking part in this study,1,None of these,None of these,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
1796,0.85,31,Male,London,"Yes, voted",Labour,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),8,2,I consent to taking part in this study,6,Labour Party,Reform UK,1,Not Asked,91,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
1797,1.01,68,Female,South East,"Yes, voted",Liberal Democrat,I voted to Leave,"Other technical, professional or higher qualification",Medium,Retired,4,3,I consent to taking part in this study,4,Reform UK,Labour Party,1,Not Asked,Not Asked,54,Not Asked,Not Asked,Not Asked,1,Not Asked,28,Not Asked,Not Asked,Not Asked,Not Asked,Don't know,Once in a while,Neither happy nor upset
1798,0.69,76,Male,North West,"No, did not vote",,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Retired,6,1,I consent to taking part in this study,2,Reform UK,Liberal Democrats,1,Not Asked,Not Asked,80,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,37,Not Asked,Not Asked,Neither agree nor disagree,Once in a while,Neither happy nor upset
1799,1.58,20,Female,South West,"No, did not vote",,I did not vote,GCE A level or Higher Certificate,Medium,Full time student,5,4,I consent to taking part in this study,6,Labour Party,Reform UK,1,Not Asked,67,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,18,Not Asked,Not Asked,Not Asked,Tend to disagree,Almost never,Neither happy nor upset
1800,0.96,28,Male,West Midlands,"No, did not vote",,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),7,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
1801,0.91,43,Female,East Midlands,"Yes, voted",Labour,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),7,1,I consent to taking part in this study,1,Labour Party,Reform UK,1,Not Asked,66,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Once in a while,Somewhat upset
1802,0.69,59,Female,Yorkshire and the Humber,"Yes, voted",Labour,I voted to Leave,GCE A level or Higher Certificate,Medium,Working part time (8-29 hours a week),6,1,I consent to taking part in this study,1,Reform UK,Green Party,1,Not Asked,Not Asked,49,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Don't know,Don't know,Neither happy nor upset
1803,0.9,33,Female,London,"No, did not vote",,I did not vote,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working part time (8-29 hours a week),6,3,I consent to taking part in this study,1,None of these,Reform UK,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
1804,0.57,62,Male,Yorkshire and the Humber,"Yes, voted",Labour,I voted to Remain,City & Guilds certificate - advanced,Medium,Working part time (8-29 hours a week),9,2,I consent to taking part in this study,5,Conservative Party,Reform UK,1,7,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Strongly disagree,Once in a while,Neither happy nor upset
1805,0.75,54,Male,East of England,"Yes, voted",Green,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),6,3,I consent to taking part in this study,4,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
1806,0.79,34,Female,North West,"No, did not vote",,I did not vote,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working part time (8-29 hours a week),4,2,I consent to taking part in this study,1,Liberal Democrats,None of these,1,Not Asked,Not Asked,Not Asked,56,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
1807,2.19,23,Female,Yorkshire and the Humber,"No, did not vote",,I did not vote,Teaching qualification (not degree),Medium,Working part time (Less than 8 hours a week),3,4,I consent to taking part in this study,1,None of these,None of these,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
1808,1.17,66,Female,North West,"Yes, voted",Conservative,I voted to Leave,No formal qualifications,Low,Retired,5,4,I consent to taking part in this study,3,Liberal Democrats,Labour Party,1,Not Asked,Not Asked,Not Asked,100,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
1809,0.89,56,Female,London,"Yes, voted",Labour,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working part time (8-29 hours a week),7,3,I consent to taking part in this study,4,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,997,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
1810,0.68,49,Female,South East,"Yes, voted",Labour,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),7,3,I consent to taking part in this study,2,Labour Party,Reform UK,1,Not Asked,50,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Don't know,Almost never,Extremely upset
1811,0.79,25,Female,London,"Yes, voted",Liberal Democrat,I did not vote,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Full time student,4,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
